session_id,subsession_id,start_time,end_time,license_category,num_drivers,event_average_lap,event_best_lap_time,event_laps_complete,cust_id,starting_position,finish_position,starting_position_in_class,finish_position_in_class,laps_complete,laps_led,incidents,car_class_name,car_name,track_id,track_name,track_config,official_session,season_year,season_quarter,event_type_name,series_name,race_week_num,event_strength_of_field,champ_points
306313254,84956736,2026-04-12T22:30:00Z,2026-04-12T22:56:08Z,Sports Car,12,620593,608231,12,1453634,2,9,2,9,7,0,13,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,1282,13
306315466,84957344,2026-04-12T23:00:00Z,2026-04-12T23:24:59Z,Sports Car,12,625206,604178,12,1453634,10,10,10,10,10,0,8,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,1194,6
306317641,84957963,2026-04-12T23:30:00Z,2026-04-12T23:55:12Z,Sports Car,12,621351,606306,12,1453634,11,4,11,4,12,0,0,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,1131,43
306319878,84958652,2026-04-13T00:00:00Z,2026-04-13T00:26:54Z,Sports Car,11,614071,603030,12,1453634,10,8,10,8,6,0,9,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,1138,18
306322081,84959247,2026-04-13T00:30:00Z,2026-04-13T00:53:44Z,Sports Car,12,609850,599372,12,1453634,11,5,11,5,12,0,8,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,1115,36
306324357,84959971,2026-04-13T01:00:00Z,2026-04-13T01:26:12Z,Sports Car,12,621337,607466,12,1453634,10,9,10,9,5,0,17,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,1137,12
306326612,84960542,2026-04-13T01:30:00Z,2026-04-13T01:55:11Z,Sports Car,12,627782,608132,12,1453634,7,9,7,9,10,0,13,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,1070,11
306328906,84961162,2026-04-13T02:00:00Z,2026-04-13T02:25:20Z,Sports Car,12,623044,607191,12,1453634,4,9,4,9,10,0,8,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,962,10
306331099,84961695,2026-04-13T02:30:00Z,2026-04-13T02:56:26Z,Sports Car,12,637429,600644,12,1453634,11,7,11,7,9,0,15,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,988,21
306333328,84962236,2026-04-13T03:00:00Z,2026-04-13T03:26:59Z,Sports Car,12,634528,608450,12,1453634,6,5,6,5,11,8,2,Mazda MX-5 Cup 2016,Global Mazda MX-5 Cup,353,Lime Rock Park,Grand Prix,True,2026,2,Race,Global Mazda MX-5 Cup by Fanatec,3,920,30
